feature,importance_gain,importance_split
ret_5_minus_ret_20_lag2,305.55030059814453,3
morning_range_lag1,305.53399658203125,1
sw_l2_mom_2_lag1,305.5248031616211,4
mkt_gt5_rate_lag3,304.2294006347656,4
sw_l2_mom_10_rank_ma5,304.1317901611328,3
vwap_log_ret_3_minus_10_lag2,300.50889587402344,2
turnover_prank_1500_lag2,298.6988983154297,3
csi1500_mcap_coverage_ratio_lag3,297.2480010986328,3
ret_10_prank_1500,296.9535942077637,4
ret_20_lag2,296.1823043823242,3
vwap_log_ret_20_lag20,295.2328987121582,4
sw_l2_ret_std_20_ind_rank_lag1,291.7990036010742,3
sw_l2_ret_1,291.2332992553711,3
vol_rel_1500,291.0133972167969,3
variance_top10_share,290.16329193115234,3
return_autocorr_1,289.7645034790039,3
sw_l2_ret_std_20_lag2,287.98899841308594,2
spx_ret_lag3,287.8873977661133,3
cost_85pct_z_lag20,287.61710357666016,3
sw_l2_ret_std_5,286.86920166015625,4
bipower_variation_lag3,286.1490020751953,2
down_bar_ratio_lag1,285.9256057739258,2
csi1500_mcap_oc_ret_lag5,284.1738967895508,3
vwap_log_ret_5_lag9,283.7143020629883,3
true_range_mean_5_z_lag2,283.28269958496094,3
late_up_bar_ratio_lag1,282.62701416015625,1
csi1500_ew_down_ratio,282.2936019897461,3
csi1500_ew_mom_3_lag3,281.37979888916016,4
csi1500_ew_mom_3_lag1,280.5168991088867,3
sw_l2_ret_std_20_lag1,279.4790954589844,4
sw_l2_ret_rel_csi1500_mcap_lag1,278.88179779052734,4
first_5m_vwap_ratio_lag1,278.66600036621094,2
sw_l2_range_pct,278.30150604248047,3
circ_mv_z_lag3,277.00260162353516,3
sw_l2_mom_2_lag3,274.4294967651367,3
sw_l2_oc_ret_lag3,271.90210723876953,3
circ_mv_z_lag10,270.86499786376953,2
mv_prank_1500_lag20,269.7939987182617,4
down_bar_ratio_lag2,268.8054962158203,3
sw_l2_mom20_rel_csi1500_ew_lag3,268.2575988769531,3
ret_10_rel_csi1500_ew_lag2,268.1866989135742,3
mean_5m_range_lag1,267.9830093383789,2
sw_l2_mom5_rel_csi1500_ew_lag1,266.07689666748047,3
xin9_swing,265.9862976074219,3
short_pressure_lag3,263.9988021850586,3
ret_1_prank_1500,262.71099853515625,2
csi1500_ew_lt_minus_2pct_ratio_lag2,262.23199462890625,3
realized_vol_1m_lag1,262.0459976196289,2
sw_l2_mom_3_rank_accel5,258.9649963378906,2
sw_l2_range_pct_lag5,257.56009674072266,4
